time_s,cpu_package_w,cpu_avg_mhz,gpu0_w,gpu1_w,gpu0_util,gpu1_util,gpu0_mem,gpu1_mem,gpu0_sm_mhz,gpu1_sm_mhz,gpu0_mem_mhz,gpu1_mem_mhz,gpu0_temp_c,gpu1_temp_c,tctl_c,ccd1_c,ccd2_c
0,355.78,1842,22.28,14.89,0,0,1,33,210,210,405,405,31,39,56.2,59.2,54.2
2,97.47,1796,25.31,15.22,0,0,4,36,210,210,405,405,31,39,59.1,60.8,63.0
4,101.78,1771,259.84,260.67,100,100,21526,21558,1290,1305,9501,9501,48,57,62.0,62.0,62.0
6,104.26,1869,259.77,259.76,100,100,21526,21558,1275,1260,9501,9501,51,60,64.8,61.0,55.2
8,101.81,1763,259.86,259.75,100,100,21526,21558,1275,1260,9501,9501,51,61,66.9,60.8,56.0
10,101.27,1785,259.79,259.96,100,100,21526,21558,1275,1275,9501,9501,52,62,67.0,55.2,63.2
12,101.94,1806,259.88,259.82,100,100,21526,21558,1260,1260,9501,9501,53,63,67.4,61.0,64.5
14,102.09,1760,259.86,259.72,100,100,21526,21558,1245,1245,9501,9501,53,63,66.4,61.8,63.5
16,102.50,1775,259.70,259.76,100,100,21526,21558,1245,1245,9501,9501,53,64,65.1,62.2,64.5
18,102.38,1772,259.82,259.84,100,100,21526,21558,1260,1260,9501,9501,54,65,65.0,60.0,58.5
20,105.38,1994,259.82,259.82,100,100,21526,21558,1245,1260,9501,9501,54,66,66.2,54.0,56.2
22,102.68,1820,259.68,259.74,100,100,21526,21558,1245,1245,9501,9501,55,66,66.5,51.5,63.8
24,102.41,1775,259.80,259.63,100,100,21526,21558,1245,1245,9501,9501,55,67,66.1,59.0,64.0
